source_date,company,product,metric_group,metric_name,value_numeric,value_text,evidence_text,source_title,source_url,source_grade,memo
2026-04-06,KT,KT AI 통화비서,운영효율,소상공인 문의 AI 처리율,70,70%,"AI 통화비서를 도입한 식당 사례에서 고객문의 70%를 AI가 처리","KT AICC 전환 속도","https://v.daum.net/v/0iNYhpsAcX",B,"소상공인 AICC/AI Call 확장 근거"
2026-04-01,KT,KT Agentic AICC,운영규모,자체 고객센터 검증 규모,8000,8000석,"KT는 8,000석 규모의 자체 고객센터에서 Agentic AICC 솔루션을 직접 운영하며 검증한 후 B2B로 제공","KT Agentic AICC","https://enterprise.kt.com/bt/dxstory/3796.do",A,"공식 KT Enterprise 자료"
2026-04-01,KT,KT Agentic AICC,시장성,구축형 AICC 점유율,70,70%,"KT는 현재까지 구축형 AICC 점유율 70%를 기록했다고 설명","KT Agentic AICC","https://enterprise.kt.com/bt/dxstory/3796.do",A,"공식 KT Enterprise 자료. 단, 시장 정의 확인 필요"
2026-04-01,KT,KT Agentic AICC,도입 레퍼런스,구독형 적용사,400,400여개,"KT는 구독형 적용사 400여 개를 기록했다고 설명","KT Agentic AICC","https://enterprise.kt.com/bt/dxstory/3796.do",A,"공식 KT Enterprise 자료"
2026-04-01,KT,KT Agentic AICC,운영효율,상담 후처리 시간 단축,42,건당 42초,"KT 자체 고객센터에서 LLM 상담 요약으로 상담 후처리 업무 처리 시간이 건당 평균 42초 단축","KT Agentic AICC","https://enterprise.kt.com/bt/dxstory/3796.do",A,"상담 요약/후처리 효율화 지표"
2026-04-01,KT,KT Agentic AICC,제품구조,KMS 기반 RAG Agent,1,지원,"금융 고객사 사례에서 은행 자격시험 문제, 내부 업무 매뉴얼, 상품 DB를 통합 학습한 KMS를 구축하고 RAG Agent를 활용","KT Agentic AICC","https://enterprise.kt.com/bt/dxstory/3796.do",A,"상담사 어시스트/RAG 기능 비교용"
2026-03-19,KT,KT Agent Connector,제품구조,시나리오 봇·AI 에이전트 하이브리드,1,지원,"KT는 MWC 2026에서 시나리오 봇과 AI 에이전트 봇을 하이브리드로 운영하는 AICC 솔루션 Agent Connector를 선보임","MWC 2026이 주목한 고객센터의 미래","https://enterprise.kt.com/bt/dxstory/3783.do",A,"2026 MWC 기반 공식 자료"
2026-03-19,KT,KT Agent Connector,운영효율,AI 에이전트 구축 자동화,1,지원,"기존 IVR 시나리오와 상담 워크플로우를 분석해 AI 에이전트 구축을 자동화","MWC 2026이 주목한 고객센터의 미래","https://enterprise.kt.com/bt/dxstory/3783.do",A,"도입 리드타임/운영 워크플로우 개선 근거"
2026-03-19,KT,KT Agent Connector,시장성,글로벌 적용 문의,1,문의 발생,"MWC 현장에서 다수의 글로벌 기업 담당자들이 해외 적용 가능성과 구축 방식에 대해 구체적으로 문의","MWC 2026이 주목한 고객센터의 미래","https://enterprise.kt.com/bt/dxstory/3783.do",A,"정량 수치는 없지만 글로벌 확장성 근거"
2026-03-19,KT,KT Agent Connector,확장성,SaaS 글로벌 확장 검토,1,검토,"KT는 클라우드 기반 SaaS 형태 제공 등 글로벌 확장을 적극 검토한다고 설명","MWC 2026이 주목한 고객센터의 미래","https://enterprise.kt.com/bt/dxstory/3783.do",A,"글로벌 SaaS 확장성"
2026-03-19,KT,KT Agent Connector,제품구조,LLM 선택 유연성,1,지원,"Agent Connector는 LLM에 구애받지 않는 유연한 아키텍처를 갖고 고객사가 원하는 LLM을 선택해 운영할 수 있음","MWC 2026이 주목한 고객센터의 미래","https://enterprise.kt.com/bt/dxstory/3783.do",A,"멀티 LLM/벤더 유연성 비교용"
2026-02-25,LGU+,LGU+ Agentic AICC,제품구조,Agentic AICC 공개,1,공개,"LG유플러스는 Agentic AICC 기술을 공개했고, 2025년 7월 OpenAI와 체결한 AICC 분야 전략적 MOU의 결실이라고 설명","LGU+ Agentic AICC 기술 공개","https://www.lguplus.com/about/en/corporation/promotion/press-kit/detail?atclNo=2000001485&pageNo=1&srchCond=titCon",A,"공식 보도자료. 내용 접근 시 확인 필요"
2025-05-27,LGU+,LGU+ AICC,시장성,현재 AICC 매출,200,약 200억,"LG유플러스는 5월 기준 AICC 매출 약 200억 원을 기록했다고 설명","LGU+ AI 상담 어드바이저 도입 본격","https://www.industrynews.co.kr/news/articleView.html?idxno=64819",A,"2025 정량 매출 근거"
2025-05-27,LGU+,LGU+ AICC,시장성,연말 매출 목표,350,350억,"LG유플러스는 연말까지 AICC 매출 350억 원 달성을 목표로 제시","LGU+ AI 상담 어드바이저 도입 본격","https://www.industrynews.co.kr/news/articleView.html?idxno=64819",A,"매출 목표 근거"
2025-05-27,LGU+,LGU+ AICC,제품구조,EXAONE 기반 AICC,1,지원,"LG유플러스 AICC는 LG AI연구원의 EXAONE 3.5-2.4B 모델을 기반으로 한다고 설명","LGU+ AI 상담 어드바이저 도입 본격","https://www.industrynews.co.kr/news/articleView.html?idxno=64819",A,"자체/그룹 AI 모델 기반 근거"
2025-05-27,LGU+,LGU+ AICC,제품구조,통신 특화 SLM 익시젠 활용,1,지원,"LG유플러스는 통신 특화 SLM인 익시젠을 AICC에서 활용한다고 설명","LGU+ AI 상담 어드바이저 도입 본격","https://www.industrynews.co.kr/news/articleView.html?idxno=64819",A,"산업 특화 SLM 근거"
2025-05-27,LGU+,LGU+ AICC,확장성,다양한 LLM 병행 검토,1,검토,"LG유플러스는 AICC에 다양한 LLM을 병행해 활용하는 방안도 검토 중이라고 설명","LGU+ AI 상담 어드바이저 도입 본격","https://www.industrynews.co.kr/news/articleView.html?idxno=64819",A,"멀티 LLM 운영 검토"
2025-05-27,LGU+,LGU+ AICC,시장성,고객사 수,70,70여개,"LG유플러스는 AICC를 70여 개 고객사에 제공하고 있다고 보도","LG유플러스 AICC 고도화 추진","https://www.enewstoday.co.kr/news/articleView.html?idxno=2282327",B,"다른 보도와 교차 확인 필요"
2025-05-27,LGU+,LGU+ AICC,운영효율,상담시간 감소 목표,30,30%,"LG유플러스는 AICC 고도화를 통해 고객 전체 상담 시간 감소율을 30%까지 끌어올릴 계획이라고 보도","LG유플러스 AICC 고도화 추진","https://www.sisajournal-e.com/news/articleView.html?idxno=412073",B,"운영효율 목표. 보조 근거"
2025-01-16,SKT,SKT AIX/B2B,시장성,AIX 사업부 신설,1,신설,"SKT는 2025년 조직개편에서 AIX 사업부를 신설했고 AICC, AIDC 등 B2B 서비스에 주력해왔다고 보도","SKT AI 협업툴로 B2B 승부","https://m.thebell.co.kr/m/newsview.asp?newskey=202501152246262400103559&svccode=",B,"유료/요약성 기사. 전략 방향 보조 근거"
2024-12-17,SKT,SKT AI CCaaS,시장성,출시 3개월 내 가입 기업 수,10,10개 이상,"SKT AI CCaaS는 출시 3개월 만에 10개 이상의 기업 고객이 서비스에 가입","SKT AI CCaaS","https://news.sktelecom.com/208852",A,"SKT 공식 뉴스룸"
2024-12-17,SKT,SKT AI CCaaS,제품구조,올인원 AICC 패키지,1,지원,"AI CCaaS는 AICC 운영에 필요한 모든 기능과 솔루션을 풀 패키지로 제공","SKT AI CCaaS","https://news.sktelecom.com/208852",A,"운영 패키지 구조"
2024-12-17,SKT,SKT AI CCaaS,제품구조,월정액 구독형,1,지원,"SKT AI CCaaS는 별도 인프라 구축 없이 이용 가능한 클라우드 기반 월정액 구독형 서비스","SKT AI CCaaS","https://news.sktelecom.com/208852",A,"구독형/저초기비용 구조"
2024-12-17,SKT,SKT AI CCaaS,제품구조,콜 인프라부터 운영대행까지 제공,1,지원,"콜 인프라, 상담 앱, AI 솔루션, 전용회선, 상담 인력, 시스템 운영 대행 등 AICC 운영에 필요한 기능과 솔루션을 올인원으로 제공","SKT AI CCaaS","https://news.sktelecom.com/208852",A,"End-to-End 운영 제공"
2024-12-17,SKT,SKT AI CCaaS,운영효율,단순 반복 문의 AI 처리,1,지원,"단순하고 반복적인 문의를 AI가 처리해 기업, 상담사, 고객 만족도를 높이는 구조","SKT AI CCaaS","https://news.sktelecom.com/208852",A,"반복 문의 자동화"
2024-12-17,SKT,SKT AI CCaaS,운영효율,상담사 연결 필요 채팅 감소,40,전년 동기 대비 40% 감소,"SK렌터카 스마트 고객센터 사례에서 상담사 연결이 필요한 채팅 문의가 전년 동기 대비 40%가량 감소했다고 보도","SKT AI CCaaS 적용 사례","https://v.daum.net/v/6B2NqauSTi",B,"언론 보도. 고객사 성과 지표"
2024-12-17,SKT,SKT AI CCaaS,제품구조,상담 어시스트,1,지원,"상담 어시스트 기능은 통화 내용을 AI가 실시간 분석해 답변에 필요한 정보를 추천","SKT AI CCaaS 적용 사례","https://v.daum.net/v/6B2NqauSTi",B,"상담사 지원 기능"
2024-03-20,SKT,SKT AI CCaaS,도입 레퍼런스,첫 기업 고객 SK렌터카,1,SK렌터카,"SKT는 SKT AI CCaaS의 첫 기업 고객으로 SK렌터카를 확보했다고 발표","SKT AI 기반 B2B 사업 확대","https://it.donga.com/105112/",B,"첫 고객사 근거"
2024-03-20,SKT,SKT AI CCaaS,제품구조,단계적 AICC 구축 가능,1,지원,"SKT AI CCaaS는 필요한 기능만 선별 도입하거나 일부 기능을 우선 도입한 후 단계적으로 AICC를 구축할 수 있음","SKT AI 기반 B2B 사업 확대","https://it.donga.com/105112/",B,"도입 유연성"
2024-03-20,SKT,SKT AI CCaaS,제품구조,음성인식·챗봇·콜봇·답변추천·상담분석,1,지원,"고객 음성 STT, AI 챗봇·콜봇, 최적 답변 제공, 상담 후 대화 정리·분석 기능이 적용","SKT AI 기반 B2B 사업 확대","https://it.donga.com/105112/",B,"AICC 기능 범위"
2024-03-20,SKT,SKT AI CCaaS,제품구조,BPO 포함 End-to-End 제공,1,지원,"콜 인프라, 상담 앱, AI솔루션, 전용회선, 상담인력, 시스템 운영대행 등 AICC 운영 기능을 올인원으로 제공","SKT 공식 뉴스룸","https://news.sktelecom.com/202379",A,"SKT 공식 근거"
2026-현재,SK AX,SK AICC,제품구조,AI 상담 요약,1,지원,"SK AX AICC는 상담 처리 완료 후 AI 자동 상담 요약 기능을 제공해 콜 후처리 시간을 단축","SK AX AICC","https://www.skax.co.kr/ax-services/aicc/",A,"공식 상품 페이지"
2026-현재,SK AX,SK AICC,제품구조,KMS 검색·상담요약·Hot 키워드 추출,1,지원,"SK AX는 KMS 검색, 상담요약, Hot 키워드 추출 등 AI 상담 지원 및 분석 자동화 기능을 제공","SK AX AICC","https://www.skax.co.kr/ax-services/aicc/",A,"상담 지원/분석 자동화"
2026-현재,SK AX,SK AICC,운영효율,AI 콜봇·챗봇 단순 문의 자동 처리,1,지원,"AI 콜봇과 챗봇이 단순 문의를 자동 처리해 상담사에게 연결되는 인입 건수를 줄이는 구조","SK AX AICC","https://www.skax.co.kr/ax-services/aicc/",A,"상담 인입 감소 방향"
2026-현재,SK AX,SK AICC,제품구조,Total Solution 제공,1,지원,"SK AX는 가상상담부터 마케팅 활용까지 Total Solution 제공을 강조","SK AX AICC","https://www.skax.co.kr/ax-services/aicc/",A,"통합 솔루션 포지셔닝"
2026-현재,SK AX,SK AICC,품질관리,사람과 AI의 Seamless 융합,1,지원,"SK AX는 AI컨택센터가 사람 상담사와 AI 시스템의 Seamless한 융합을 통한 상담 업무 최적화를 목표로 해야 한다고 설명","SK AX Contact Center 효율화","https://www.skax.co.kr/finance/contact-center-efficiency/",A,"품질/리스크 관리 관점"
2026-현재,NAVER Cloud,CLOVA AiCall,제품구조,클라우드 기반 AI 콘택트센터,1,지원,"CLOVA AiCall은 AI 기능을 기반으로 고객센터를 구축하고 운영할 수 있는 클라우드 기반 AI 콘택트센터 서비스","CLOVA AiCall","https://www.ncloud.com/product/aiService/CCAI?region=KR",A,"NAVER 공식 상품 페이지"
2026-현재,NAVER Cloud,CLOVA AiCall,제품구조,통합 관리 도구,1,지원,"음성 인식 및 합성, 챗봇, 텍스트 분석 등 AI 콘택트센터의 모든 기능을 통합 관리할 수 있음","CLOVA AiCall","https://www.ncloud.com/product/aiService/CCAI?region=KR",A,"공식 기능 근거"
2026-현재,NAVER Cloud,CLOVA AiCall,운영효율,Agent 확장·축소,1,지원,"고객 응대 규모에 따라 Agent를 유연하게 확장·축소할 수 있어 AI 콜센터 운영 비용을 절감할 수 있음","CLOVA AiCall","https://www.ncloud.com/product/aiService/CCAI?region=KR",A,"운영 규모/비용 관리 근거"
2026-현재,NAVER Cloud,CLOVA AiCall,산업특화,병원·식당·리테일 활용,1,지원,"병원, 식당, 리테일 등 다양한 비즈니스 분야에서 전화 문의, 응대, 예약 등에 활용 가능","CLOVA AiCall","https://www.ncloud.com/product/aiService/CCAI?region=KR",A,"산업 확장성"
2026-현재,NAVER Cloud,CLOVA AiCall,품질관리,불완전판매 모니터링 활용,1,지원,"보험, 투자 상품 등 구매 완료를 위한 불완전 판매 모니터링에도 활용 가능","CLOVA AiCall","https://www.ncloud.com/product/aiService/CCAI?region=KR",A,"금융/보험 품질관리 활용 가능성"
2026-현재,효성ITX,xtrmSolution,제품구조,컨택센터 전용 Total AI 솔루션,1,지원,"효성ITX xtrmSolution은 컨택센터 업무와 밀결합된 컨택센터 전용 Total AI 솔루션이라고 설명","효성ITX xtrmSolution","https://www.hyosungitx.com/ko/business/contactCenterAiSolution1.do",A,"AICC 전문 운영사 참고 경쟁군"
2026-현재,효성ITX,xtrmSolution,제품구조,All in One 솔루션,1,지원,"핵심 코어 엔진 및 웹 솔루션을 자체 기술력 기반의 All in One 솔루션으로 구현","효성ITX xtrmSolution","https://www.hyosungitx.com/ko/business/contactCenterAiSolution1.do",A,"제품 구조 비교용"
2026-현재,효성ITX,xtrmSolution,운영효율,BPO 운영 노하우 기반 모듈화,1,지원,"BPO 운영 노하우 기반으로 설계된 개별 솔루션은 모듈화되어 고객 니즈에 맞게 제공 가능","효성ITX xtrmSolution","https://www.hyosungitx.com/ko/business/contactCenterAiSolution1.do",A,"운영/BPO 기반 AICC 경쟁군"
2026-05-13,컨택센터 상장사,AICC 시장 동향,시장성,AICC 구축·운영 기업 흑자 기조,1,시장 동향,"브리지텍, KTis, KTcs, 효성ITX 등 AICC 구축·운영 기업들이 지난해 대체로 흑자 기조를 유지했다고 보도","AICC 기업 AI 상담 전환 속도 주목","https://m.newsprime.co.kr/section_view.html?menu=index&no=733326",B,"시장 동향 참고. 특정 경쟁사 점수에는 보조로만 사용"
2026-05-13,KTcs,HiQri,시장성,2025년 매출,10427,1조427억1667만원,"KTcs는 2025년 연결 기준 매출 1조427억1667만원, 영업이익 298억618만원을 기록했다고 보도","AICC 기업 AI 상담 전환 속도 주목","https://m.newsprime.co.kr/section_view.html?menu=index&no=733326",B,"컨택센터 운영/BPO 경쟁군. 단위 혼합 주의"
2026-05-13,KTcs,HiQri,운영효율,영업이익 증가율,327.6,327.6%,"KTcs 영업이익은 전년 대비 327.6% 증가했다고 보도","AICC 기업 AI 상담 전환 속도 주목","https://m.newsprime.co.kr/section_view.html?menu=index&no=733326",B,"기업 실적 참고. AICC 단독 성과 아님"
2026-05-13,효성ITX,컨택센터·AICC,시장성,2025년 매출,5190,5190억1400만원,"효성ITX는 2025년 연결 기준 매출 5190억1400만원을 기록했다고 보도","AICC 기업 AI 상담 전환 속도 주목","https://m.newsprime.co.kr/section_view.html?menu=index&no=733326",B,"기업 실적 참고. AICC 단독 성과 아님"
2026-05-13,효성ITX,컨택센터·AICC,제품구조,AI 상담요약·실시간 답변 추천 확대,1,지원,"효성ITX는 기존 고객사를 대상으로 AI 기반 상담 요약, 실시간 답변 추천 등 부가 서비스를 확대할 수 있다는 점이 특징이라고 보도","AICC 기업 AI 상담 전환 속도 주목","https://m.newsprime.co.kr/section_view.html?menu=index&no=733326",B,"시장 경쟁군 보조 근거"
